nama,user_rating,rating,original_rating,user_count,bayesian_rating,confidence_category,is_reliable,rating_difference
Sate Taichan Goreng,39,4.6,4.6,39,4.493017566305889,Sangat rendah,TRUE,-0.10698243369411031
Sate Taichan Nyot Nyot,780,4.4,4.4,780,4.423234922710925,Sangat tinggi,TRUE,0.023234922710924977
Sate babi GLORY,184,4.6,4.6,184,4.523826807389596,Tinggi,TRUE,-0.0761731926104039
Sate dan Gulai Kambing Pucan,735,4.3,4.3,735,4.35452517545819,Sangat tinggi,TRUE,0.054525175458190134
Seblak Aulia Khas Bandung - Gubeng Airlangga,421,4.6,4.6,421,4.5482063437146,Sangat tinggi,TRUE,-0.051793656285399337
Sentra Wisata Kuliner Bratang Binangun,3167,4.5,4.5,3167,4.498163429663176,Sangat tinggi,TRUE,-0.0018365703368239394
Sentra Wisata Kuliner Dharmahusada,2647,4.4,4.4,2647,4.408611763870104,Sangat tinggi,TRUE,0.008611763870103317
Sentra Wisata Kuliner Taman Prestasi,684,4.3,4.3,684,4.357296260608531,Sangat tinggi,TRUE,0.05729626060853121
Songdji.sub,231,4.7,4.7,231,4.572292093588849,Sangat tinggi,TRUE,-0.12770790641115148
Sop Janda Suroboyo - Ondomohen,191,4.5,4.5,191,4.487456998081609,Tinggi,TRUE,-0.01254300191839075
"Soto Ayam ""Cak To"" Undaan Wetan",5724,4.7,4.7,5724,4.688367137837456,Sangat tinggi,TRUE,-0.011632862162544555
Soto Ayam Pak Umar Kertajaya,603,4.4,4.4,603,4.4276930054424515,Sangat tinggi,TRUE,0.027693005442451124
Soto Banjar Alalak Surabaya,133,4.7,4.7,133,4.5446338066754945,Sedang,TRUE,-0.15536619332450563
Soto Banjar Pak Kumisss,52,4.6,4.6,52,4.496761231549559,Rendah,TRUE,-0.10323876845044033
Soto Madura Gubeng Pojok Asli,672,4.2,4.2,672,4.290213613233144,Sangat tinggi,TRUE,0.0902136132331437
Soto Madura Gubeng Pojok Asli,1847,4.1,4.1,1847,4.156033601440415,Sangat tinggi,TRUE,0.056033601440415026
Soto Otot Jimerto,382,4.6,4.6,382,4.545326867456395,Sangat tinggi,TRUE,-0.05467313254360473
Spesial Ceker Surabaya,57,4.7,4.7,57,4.513271706562182,Rendah,TRUE,-0.1867282934378185
"Spesial Soto Boyolali (SSB) Hj. Hesti Widodo, Surabaya",2055.5,4.7,4.7,2055.5,4.6703986515876466,Sangat tinggi,TRUE,-0.029601348412353623
Tahu Baxo Ibu Yuni cab Embong Malang,94,4.4,4.4,94,4.461781856156375,Rendah,TRUE,0.06178185615637499
Toko Bakmie Saudagar Dharmawangsa,1777,4.6,4.6,1777,4.581706080381903,Sangat tinggi,TRUE,-0.018293919618096233
Tokyo Resto 68,3317,4.5,4.5,3317,4.498239185348732,Sangat tinggi,TRUE,-0.0017608146512682055
Tunjungan 39,2731,4.7,4.7,2731,4.676953547785827,Sangat tinggi,TRUE,-0.023046452214173563
Undaan Pangsit Chicken Noodles,1347,4.5,4.5,1347,4.496157694281825,Sangat tinggi,TRUE,-0.0038423057181748987
Wapo Resto - Airlangga,7071.5,4.4,4.4,7071.5,4.403456473754656,Sangat tinggi,TRUE,0.0034564737546558533
Warung Bemo 99,242,4.8,4.8,242,4.617892782761641,Sangat tinggi,TRUE,-0.1821072172383591
